logFC	logCPM	F	PValue	FDR
Zm00001eb352420	-2.93915612370048	5.6821548618618	1305.73853052004	1.91723983814412e-25	8.27896112625227e-23
Zm00001eb044840	-2.31695507058709	6.12210946545999	1305.47658960451	1.92264162291344e-25	8.27896112625227e-23
Zm00001eb036130	1.59638698921802	8.91896025254395	1278.54144216766	2.57539511403432e-25	1.09017784700012e-22
Zm00001eb038890	-1.56891846191703	7.93132475327564	1271.76162006393	2.77465898512458e-25	1.1549518025581e-22
Zm00001eb246370	1.71354329119694	8.10283870500528	1263.24503257059	3.04864272508205e-25	1.24819429604794e-22
Zm00001eb417480	-1.85504562568135	7.31203974080611	1252.05311649966	3.45352536350765e-25	1.39115799925167e-22
Zm00001eb019570	-1.76333564826183	6.4998404201775	1249.32808734853	3.56057699777084e-25	1.41151445268772e-22
Zm00001eb091920	-2.72562348408408	6.48386451754095	1240.9694120533	3.91168574057366e-25	1.52647424016917e-22
Zm00001eb332050	-2.84497286904998	5.80147439476624	1218.34178368335	5.0616949552081e-25	1.94485894625111e-22
Zm00001eb388430	-1.72638875143108	6.46291414062754	1214.77617050475	5.27374543567043e-25	1.99563321599801e-22
Zm00001eb324720	-1.88411669290088	6.08817308527516	1192.89974118509	6.80148615202776e-25	2.53533009920736e-22
Zm00001eb243040	-2.04231111644144	7.1434202332381	1189.82924056441	7.05130234107968e-25	2.58979817600684e-22
Zm00001eb381540	-2.20160601687412	8.74457593327876	1144.13742427336	1.21947484438044e-24	4.41396873020312e-22
Zm00001eb413300	-1.59768368308939	10.2624762602103	1142.85950596564	1.2386801532974e-24	4.4194338326575e-22
Zm00001eb221970	-2.9716926831241	4.99389287060308	1133.04803401236	1.39736787563935e-24	4.91538911184406e-22
Zm00001eb392870	-2.48315812403738	7.24525651345876	1128.66257264437	1.47520966999034e-24	5.10482390662045e-22
Zm00001eb242820	-2.07554647008044	6.00295714162218	1127.74366813681	1.49210068141459e-24	5.10482390662045e-22
Zm00001eb397980	2.65227428325763	5.06446378586099	1125.38185474781	1.53647138437994e-24	5.18559092228228e-22
Zm00001eb154280	-3.12666028285852	4.68483180259779	1114.9316904789	1.75044538448783e-24	5.82898313034446e-22
